epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,50316.9,0.55204,0.27568,0.85783,0.97864,0.97825,0.99343,0.9084,0.49674,0.22235,0.84008,0.004258,0.004258,0.004258
118,51581.4,0.55005,0.27498,0.85642,0.97906,0.9781,0.99345,0.90871,0.49602,0.22179,0.83976,0.0042085,0.0042085,0.0042085
119,52846.8,0.54922,0.27386,0.85536,0.97875,0.97861,0.99346,0.90893,0.49524,0.22145,0.83936,0.004159,0.004159,0.004159
120,54113.6,0.54923,0.27462,0.8566,0.97915,0.97855,0.99349,0.90917,0.49448,0.221,0.83907,0.0041095,0.0041095,0.0041095
121,55379.7,0.54863,0.27397,0.8565,0.97892,0.97903,0.9935,0.90946,0.49378,0.22066,0.8388,0.00406,0.00406,0.00406
122,56650.9,0.54661,0.27261,0.85543,0.9789,0.97921,0.99351,0.90965,0.49307,0.22035,0.83853,0.0040105,0.0040105,0.0040105
123,1254.89,0.53797,0.26733,0.85391,0.97897,0.97925,0.99351,0.90995,0.49237,0.22002,0.83834,0.003961,0.003961,0.003961
124,2512.71,0.54409,0.27073,0.85638,0.9795,0.97895,0.99353,0.91024,0.4918,0.21967,0.83833,0.0039115,0.0039115,0.0039115
125,3773.1,0.54406,0.27102,0.85317,0.97956,0.97893,0.99354,0.91044,0.49129,0.21941,0.83785,0.003862,0.003862,0.003862
126,5032.89,0.54169,0.26965,0.85412,0.97951,0.979,0.99353,0.91059,0.49068,0.21939,0.83758,0.0038125,0.0038125,0.0038125
127,6291.12,0.54237,0.27008,0.85446,0.97957,0.97906,0.99354,0.91079,0.49003,0.21907,0.83743,0.003763,0.003763,0.003763
128,7552.55,0.54156,0.26993,0.85269,0.9797,0.97916,0.99355,0.91099,0.48936,0.21874,0.83709,0.0037135,0.0037135,0.0037135
129,8816.05,0.54062,0.26959,0.85265,0.97985,0.97921,0.99357,0.91123,0.48867,0.21838,0.83664,0.003664,0.003664,0.003664
130,10080.7,0.53882,0.26824,0.85299,0.97998,0.97922,0.99358,0.9116,0.48801,0.21804,0.83644,0.0036145,0.0036145,0.0036145
131,11342.1,0.53932,0.26871,0.85322,0.98013,0.97926,0.99359,0.9119,0.48722,0.2177,0.83624,0.003565,0.003565,0.003565
132,12605.7,0.53714,0.26765,0.85109,0.98012,0.97926,0.99359,0.91205,0.48658,0.21746,0.83595,0.0035155,0.0035155,0.0035155
133,13862.5,0.53692,0.26733,0.85169,0.98011,0.97935,0.9936,0.91222,0.48595,0.21713,0.83566,0.003466,0.003466,0.003466
134,15123.3,0.53618,0.26673,0.85054,0.98011,0.97941,0.99361,0.91235,0.48528,0.21687,0.83521,0.0034165,0.0034165,0.0034165
135,16386.1,0.53533,0.26623,0.84895,0.98011,0.97965,0.99362,0.91273,0.48459,0.21661,0.83449,0.003367,0.003367,0.003367
136,17647.5,0.53577,0.26666,0.85183,0.9802,0.97969,0.99364,0.91312,0.48393,0.21629,0.83433,0.0033175,0.0033175,0.0033175
137,18908.8,0.53277,0.26505,0.8498,0.98036,0.97975,0.99365,0.91336,0.48321,0.216,0.83399,0.003268,0.003268,0.003268
138,20171.6,0.53084,0.26423,0.84828,0.98059,0.97979,0.99367,0.91359,0.48253,0.21564,0.83354,0.0032185,0.0032185,0.0032185
139,21434.3,0.52962,0.26314,0.84894,0.98057,0.98006,0.99367,0.91384,0.48185,0.21519,0.83329,0.003169,0.003169,0.003169
140,22699,0.52998,0.26367,0.85023,0.98062,0.98009,0.99368,0.9141,0.48116,0.21479,0.8332,0.0031195,0.0031195,0.0031195
